Unnamed: 0,film-url,review,polarity
120476,http://www.allocine.fr/film/fichefilm-129766/critiques/spectateurs,"Un excellent thriller d'action où les scènes de bravoure se croisent avec des effets pyrotechniques sensationnelle. Une course contre la montre haletante au rythme effréné, impossible de décrocher !",1
32693,http://www.allocine.fr/film/fichefilm-59905/critiques/spectateurs,"Si le scénariste, qui aurait pu faire un minimum de recherches pour éviter que son film soit rempli d'erreurs historiques, voulait provoquer le frisson, c'est raté. Certaines scènes font même sourire tellement elles sont ratées. S'il y a de bonnes idées, elles sont mal exploitées. En outre, l'actrice principale n'est pas crédible et surjoue au possible. En revanche, ce film est à déconseiller aux personnes souffrant de claustrophobie. Peut-être que le seul intérêt du film est de donner envie de (re)visiter les ""catacombes"" de Paris.",0
79958,http://www.allocine.fr/film/fichefilm-11296/critiques/spectateurs,"Référence dans la filmographie de Bogart, ""Le Violent"" n'en reste pas moins décevant par l'usage de personnages peu intéressants évoluant dans un scénario plat sans grand rebondissement. Nous offrant une histoire à première vue semblable à un petit Hitchcock, Nicholas Ray se laisse entraîner dans une banale histoire de cœur dont la seule originalité est le caractère plutôt imprévisible de Dix interprété par Humphrey Bogart. Bien heureusement il existe quelques qualités pour tenter de dégager toute la poussière qui recouvre aujourd'hui les bobines de ce classique du cinéma. Outre une mise en scène plus que correcte, ""Le Violent"" dévoile des courses en voiture impressionnantes en vue de l'époque ainsi qu'un jeu d'acteur de Bogart tout bonnement incroyable. Malheureusement, ces qualités de formes ne peuvent rattraper des faiblesses de fond gargantuesques qui perdent le spectateur dans la fatigue et la souffrance de la conventionnalité.",0
76366,http://www.allocine.fr/film/fichefilm-15111/critiques/spectateurs,"Un bon scénario, un bon film, une histoire loufoque et ténébreuse. Des très grandes et bonnes jeunes actrices.",1
82343,http://www.allocine.fr/film/fichefilm-128181/critiques/spectateurs,Un scenario vide et une mise en scene trés soporifique. La fille de Gerard Oury à bien du mal à s'imposer cette fois.,0
142834,http://www.allocine.fr/film/fichefilm-126896/critiques/spectateurs,"Un ratage dans tous les compartiments : Scénario sans aucune maîtrise et sans rythme avec trop de monde à la fois et des confusions en série, réalisation paresseuse, dialogues trop écrits ce qui entraine une direction d'acteurs catastrophique avec des blancs entre les répliques. A sauver éventuellement le sourire de Valeria Bruni-Tedeschi et la présence sulfureuse de le belle Caterina Murino. Au fait saviez-vous que Pascal Bonitzer était professeur de scénario à la Femis ?",0
116845,http://www.allocine.fr/film/fichefilm-115026/critiques/spectateurs,"Pas de suspens, pas d'angoisse, pas de sursaut ni de gore, pas de clichés non plus... Ha si, ça, il y en a pleins... Un film qui n'était ni à faire et ne sera jamais, je l'éspère, à refaire.",0
159721,http://www.allocine.fr/film/fichefilm-14687/critiques/spectateurs,"Innocence et poésie résume à merveille ce film. ""Pour le voir, il faut d'abord y croire.""",1
61783,http://www.allocine.fr/film/fichefilm-137808/critiques/spectateurs,Ce film sent très mauvais.,0
157041,http://www.allocine.fr/film/fichefilm-129512/critiques/spectateurs,"Ce deuxième Kickboxer n’est pas une très grande réussite. Mise en scène de Albert Pyun insignifiante, acteurs comme Sasha Mitchell, Peter Boyle et Dennis Chan très mauvais dans leurs rôles, scénario plat et film sans aucun intérêt. Ce n’est même pas divertissant tellement les acteurs sont faux.",0
45312,http://www.allocine.fr/film/fichefilm-145350/critiques/spectateurs,"Une vraie études de caractères... On voit le point de vue de chacun sans jamais verser dans le manichéisme... Une bonne histoire, de bons acteurs...",1
118822,http://www.allocine.fr/film/fichefilm-1850/critiques/spectateurs,"Après un premier visionnage en salle, mon opinion n'a pas changé. Le seul atout de ce film consiste en les numéros chantés de Julie Andrews, experte en la matière. Le scénario est une catastrophe, hésitant,incohérent parfois, certaines séquences sont lourdes et incompréhensibles.Le montage aurait du supprimer certaines scènes inutiles comme les bagarres qui n'apportent rien, ce qui aurait allégé le temps de diffusion, trop long pour ce genre d'intrigue . Blake Edwards est connu pour ne pas faire dans la dentelle. Il le démontre ici. Ceux qui voudront voir un film britannique de choix pourront se faire une bonne toile avec ""Noblesse oblige"" qui ressort en ce moment.",0
22379,http://www.allocine.fr/film/fichefilm-56714/critiques/spectateurs,"Bouleversant, triste, passionnant. Eastwood m'a impressionné par la fluidité de ce film. Quelle combat, Freeman m'a mit K.O. Il est incroyable ce film, d'un réalisme gigantesque ! La fin est dramatique mais que c'est beau tout de même !",1
123953,http://www.allocine.fr/film/fichefilm-9450/critiques/spectateurs,"Réalisé par David Cronenberg et sorti en 1999, ce film m'a tout simplement beaucoup surpris et on en ressort complètement déboussolé. Le scénario est très original, c'est l'histoire d'un nouveau jeu qui se connecte directement au système nerveux mais à une conférence, un fanatique endommage dangereusement le pod de la créatrice du jeu. Je trouve le film réellement sous-noté car oui, il est vraiment très étrange et possède une ambiance très particulière, voir dérangeante mais c'est ça qui fait toute l'essence du film, c'est d’essayer de perdre le spectateur avec la méthode du ""jeu dans le jeu"", qui fait d'ailleurs un peu penser à ""Inception"", et c'est vraiment très bien fait car on arrive vraiment à s'y perdre et ne plus pouvoir s’identifier vraiment aux personnages, ce qui est vraiment déroutant. Pour ce qui est de la fin, j'ai tout simplement adoré avecce twist final assez inattendu et où le film laisse interpréter aux spectateurs le fait de savoir si les personnages sont encore dans le jeu ou non avec d'ailleurs la dernière réplique qui résume très bien le film. Les effets visuels sont plutôt bons, réalistes mais surtout très étranges, ce qui convient très bien au film. Du côté des acteurs, nous avons principalement Jude Law, Jennifer Jason Leigh, Ian Holm etc. qui jouent franchement très bien, il n'y a rien à redire sur leur prestation. ""eXistenZ"" est donc un très bon film qui a été je pense assez incompris par la plupart des spectateurs et qui mérite que l'on s'y intéresse un peu plus.",1
